experiment_id,algorithm_id,hyperparameter_hash,training_run_id,training_seed,train_frames,wall_clock_train_s,evaluation_episodes,mean_score,median_score,standard_deviation,best_score,learning_auc,checkpoint_sha256,manifest_sha256,manifest_path
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,v2-components-double-seed13,13,30000,49.98602294921875,100,188.0394671537801,127.44568745072897,113.95337224727301,651.1976938078271,5108293.275324826,0809fa0afc23bdc3473b36682d75b34f23610172e966523fbfb73b553d9bed85,a2883cf1b39d0a021e4102f855eaa1adf8a56bb9534cde381f85df01d6be5967,runs/v2-components/v2-components-double-seed13/manifest.json
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,v2-components-double-seed31,31,30000,46.97205471992493,100,242.53933409104346,179.88200314881226,175.99741558924202,1035.9905559318577,6169103.307635049,faf23690906b067223ff6e3348dc46a4a6a5f9aed8bbbfcbdafa45f83f7ef859,2d0175ae62878e6f307a9d893db4fa021c6b9bfacd0a42c2009d89c367cd5a14,runs/v2-components/v2-components-double-seed31/manifest.json
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,v2-components-double-seed53,53,30000,52.60419845581055,100,165.72910640276092,124.376589345537,111.48133621887827,651.1976938078271,5911319.398832271,f88b5420035b8e39ec9dc22c66a737940e7ca6bae0d0dafbae8dd0956589d32a,6a7b723079f525bd12467665b21c4d1456e276e8cb1ab493fd4aed323f5e47b2,runs/v2-components/v2-components-double-seed53/manifest.json
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,v2-components-double-seed73,73,30000,44.65523910522461,100,178.25213541440473,127.44568745072897,117.1252609831129,651.1976938078271,5691665.352606392,3085e67c3fde794247ab4cdc6847cc0c60ffb0a0e4b7c3e63a31026c04714848,b7ee636ddb5c2e1c983693773457af346162ea03995905ccc89844f8d78c2961,runs/v2-components/v2-components-double-seed73/manifest.json
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,v2-components-double-seed97,97,30000,48.6884388923645,100,222.2742311802066,179.88200314881226,161.40471310250564,1028.8454101534742,6734188.239247201,fdfcf8ac231ed5f5dd767214d05f52be8cf336978ce19deb9ecba5b6dbc588ee,0c09569f9dd7149365b8cae711ec10f2ad0eb67a81691474910550c2c92e10b6,runs/v2-components/v2-components-double-seed97/manifest.json
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,v2-components-dueling-double-seed13,13,30000,84.55669069290161,100,289.26804802544575,235.94509996149975,201.6051971841801,1162.3239898050967,7211693.311432161,e5b4dd428487b7cfe1764c901585279d5e1fee8c28bce96b2ae383a128a9e371,10c52edb3edc1a0a8c7388438e4c6d0fd2869a90145ceef643286361eda40bb9,runs/v2-components/v2-components-dueling-double-seed13/manifest.json
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,v2-components-dueling-double-seed31,31,30000,71.53244924545288,100,214.43683642425717,155.14441163097317,158.35648619421767,766.5520840984494,7696378.756988029,f04fec0a874484e00b8c541773638f229ff70b6033e6f6da0ac9f5b53db1d270,7c7d0c8960dd37c2426925b7d9b46a230182c1091d110b2a3ef75e5881b201a0,runs/v2-components/v2-components-dueling-double-seed31/manifest.json
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,v2-components-dueling-double-seed53,53,30000,54.98855209350586,100,280.31885085841475,245.34356122883696,171.38596803408308,982.5949227676505,6406106.765500606,f6fca561964727ce32784a0b6d6a0b367b526a068eb7d3e52d3a5acf272631c1,9cad2ab096754c38d4390893c1828e585e751546c69b0a337e13bbddf807a574,runs/v2-components/v2-components-dueling-double-seed53/manifest.json
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,v2-components-dueling-double-seed73,73,30000,56.85996150970459,100,285.46422693388945,250.04888539152168,172.58534364998883,982.5949227676505,7025928.640689416,00d2d0d6e6eceb4b505f1cf7be536096bc2bdfa7ac9315b87627ba9434f9f43e,06ac02790210e38ae7f1b689cea1b4c32775cfd58e0278f51aa4e261eb3384ef,runs/v2-components/v2-components-dueling-double-seed73/manifest.json
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,v2-components-dueling-double-seed97,97,30000,52.00020384788513,100,209.45081839683303,155.14441163097317,144.8023200342283,617.6824219334712,6596597.396559455,023ede7631613d39d95c658eb88d907fe92fca03137b9d27cf959fbb86dbf9bc,096f57d3eb92f0271a2f8979cfed0ec858bfa505ef215177afa4c74b2852979a,runs/v2-components/v2-components-dueling-double-seed97/manifest.json
